Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00      32/32          proc_IncrementCurrentRun [184]
                0.00    0.00      32/34          coeff_GetStepRoadGravity [177]
                0.00    0.00      32/32          InitRandom [180]
                0.00    0.00      32/96          coeff_SetCurrentDiffusion [156]
                0.00    0.00      32/96          coeff_SetCurrentBreed [155]
                0.00    0.00      32/96          coeff_SetCurrentSpread [159]
                0.00    0.00      32/96          coeff_SetCurrentSlopeResist [158]
                0.00    0.00      32/96          coeff_SetCurrentRoadGravity [157]
                0.00    0.00      32/32          proc_IncrementNumRunsExecThisCPU [185]
                0.00    0.00      29/1835        scen_GetLogFP [98]
                0.00    0.00      24/27          coeff_GetStopSlopeResist [187]
                0.00    0.00      16/17          coeff_GetStartRoadGravity [190]
                0.00    0.00      16/18          coeff_GetStepSlopeResist [189]
                0.00    0.00      12/1628        scen_Append2Log [101]
                0.00    0.00      12/15          coeff_GetStopSpread [191]
                0.00    0.00      10/10          scen_GetNumLanduseClasses [203]
                0.00    0.00       8/8           scen_GetLanduseClassGrayscale [213]
                0.00    0.00       8/8           landclassSetGrayscale [207]
                0.00    0.00       8/8           landclassSetName [208]
                0.00    0.00       8/8           scen_GetLanduseClassName [214]
                0.00    0.00       8/8           landclassSetType [209]
                0.00    0.00       8/8           scen_GetLanduseClassType [215]
                0.00    0.00       8/8           scen_GetLanduseClassColor [212]
                0.00    0.00       8/8           landclassSetColor [206]
                0.00    0.00       8/9           coeff_GetStartSlopeResist [204]
                0.00    0.00       8/10          coeff_GetStepSpread [202]
                0.00    0.00       6/9           coeff_GetStopBreed [205]
                0.00    0.00       4/5           coeff_GetStartSpread [222]
                0.00    0.00       4/6           coeff_GetStepBreed [218]
                0.00    0.00       3/6           coeff_GetStopDiffusion [219]
                0.00    0.00       2/1539        scen_GetDoingLanduseFlag [102]
                0.00    0.00       2/3           coeff_GetStartBreed [228]
                0.00    0.00       2/130         scen_GetWriteAvgFileFlag [146]
